FIPS,Socioeconomic,Housing - Disability,Minority Status - Language,Housing - Transportation,SVI INDEX
48201555200,0.3215,0.5681,0.6184,0.2493,0.3823
48201555301,0.0318,0.2282,0.1361,0.3732,0.1301
48201555302,0.0861,0.2158,0.3199,0.1694,0.1265
48201555303,0.146,0.2807,0.2723,0.3049,0.1969
48201555501,0.5289,0.5212,0.5413,0.8342,0.637
48201555502,0.2158,0.2148,0.3739,0.4464,0.2664
48201555600,0.3424,0.2274,0.474,0.4038,0.3305
48201555701,0.0522,0.3123,0.2731,0.1215,0.1035
48201555702,0.0746,0.0987,0.2134,0.0902,0.0466
48201556000,0.4009,0.4415,0.6219,0.6629999999999999,0.5363
48201980000,-999.0,0.0584,0.0,0.0758,-999.0
48201980100,0.6547,0.4775,0.4843,0.748,0.6361
48201100000,0.2757,0.0427,0.5096,0.8991,0.3868
48201210100,0.4032,0.2962,0.7744,0.8837,0.62
48201222000,0.836,0.1947,0.8754,0.7413,0.7455
48201232500,0.7827,0.6494,0.7903,0.8482,0.8390000000000001
48201250301,0.4122,0.2112,0.6315,0.6745,0.4846
48201253400,0.4531,0.8425,0.6665,0.9988,0.8478
48201310500,0.9553,0.909,0.9608,0.9468,0.9879
48201312000,0.6754,0.0084,0.305,0.8041,0.3983
48201312100,-999.0,0.0021,0.2694,-999.0,-999.0
48201312500,0.3677,0.0142,0.5109,0.7995,0.3257
48201312800,0.9434,0.3531,0.5163,0.9676,0.8537
48201312900,0.7123,0.5181,0.4709,0.9541,0.7601
48201313100,0.1255,0.0425,0.4325,0.5156,0.1877
48201313900,0.4199,0.0096,0.3609,0.7012,0.2704
48201314001,0.2425,0.013000000000000001,0.5134,0.6772,0.2315
48201323701,0.4036,0.5583,0.5243,0.6829999999999999,0.5393
48201342200,0.5108,0.7373,0.6491,0.9069,0.7322
48201343600,0.5661,0.6973,0.39799999999999996,0.6258,0.5875
48201410300,0.076,0.0686,0.0708,0.5187,0.1228
48201410702,0.4564,0.0341,0.4315,0.8263,0.4084
48201412100,-999.0,0.0006,0.3274,-999.0,-999.0
48201422600,0.5051,0.4464,0.6998,0.9641,0.7244
48201422800,0.8304,0.3317,0.8,0.9553,0.856
48201510100,0.22899999999999998,0.0301,0.5591,0.4631,0.2217
48201511100,0.1471,0.1261,0.5105,0.6928,0.3019
48201520700,0.4938,0.361,0.6255,0.6834,0.5662
48201530400,0.9284,0.9837,0.9271,0.981,0.9965
48201530600,0.9062,0.6827,0.9059999999999999,1.0,0.9896
48201534201,0.3837,0.0858,0.784,0.9305,0.5708
48201534203,0.5494,0.62,0.7344,0.9426,0.7658
48201555401,0.2547,0.6685,0.4627,0.7359,0.4914
48201555402,0.5369,0.8758,0.3551,0.8628,0.6891
